benchmark_model,source_name,source_record_id,candidate_title,price,transaction_date,quantity,unit,total_amount,evidence_type,query_begin_date,query_end_date
Sophie,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02128272,"인공호흡기, 조선기기, CSI-2000, 운반형",1700000,2026-07-15,1,대,1700000,delivery_order_unit_price,2026-07-14,2026-08-13
Sophie,조달청_나라장터쇼핑몰 품목정보 서비스,R26TA02087383,인공호흡기,69000000,2026-07-28,1,SET,69000000,contract_unit_price,2026-07-14,2026-08-13
Sophie,조달청_나라장터쇼핑몰 품목정보 서비스,R26TA02135157,융복합인공호흡기,13500000,2026-08-11,2,182,27000000,contract_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02126445,"노트북컴퓨터, 삼성전자, (VN)NT960XHA-KG71G, Intel Core Ultra 7 256V(2.2GHz)",2420000,2026-07-14,1,대,2420000,delivery_order_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02127111,"노트북컴퓨터, 삼성전자, (VN)NT750QGK-KG56G, Intel Core 5 120U(1.4GHz)",2497000,2026-07-14,2,대,4994000,delivery_order_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02128592,"노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGK-KG56P, Intel Core 5 120U(1.4GHz)",1969000,2026-07-15,1,대,1969000,delivery_order_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02130339,"노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGK-KG76P, Intel Core 7 150U(1.8GHz)",2046000,2026-07-15,5,대,10230000,delivery_order_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02131005,"노트북컴퓨터, 삼성전자, (VN)NT960QHA-KG71G, Intel Core Ultra 7 256V(2.2GHz), 액세사리별도",2534400,2026-07-15,3,대,7603200,delivery_order_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02133669,"노트북컴퓨터, 삼성전자, (VN)NT750XHD-K5P62, Intel Core Ultra 5 225U(1.5GHz), 액세사리별도",1950000,2026-07-16,2,대,3900000,delivery_order_unit_price,2026-07-14,2026-08-13
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02141920,"노트북컴퓨터, 삼성전자, (VN)NT750XHD-K7P62, Intel Core Ultra 7 255U(2.0GHz), 액세사리별도",2090000,2026-07-20,7,대,14630000,delivery_order_unit_price,2026-07-14,2026-08-13
