model_name,product_name,term,rationale
TN500,인큐베이터(인공보육기),인큐베이터,기존 수동조사에서 확인한 연구용 검색어
TN500,인큐베이터(인공보육기),보육기,기존 수동조사에서 확인한 연구용 검색어
TN500,인큐베이터(인공보육기),신생아용인큐베이터,기존 수동조사에서 확인한 연구용 검색어
Efficia DFM100,심장 충격기,심장충격기,기존 수동조사에서 확인한 연구용 검색어
Efficia DFM100,심장 충격기,제세동기,동일 용도 분류 후보 탐색용이며 직접가격 mapping 아님
MAC5,심전도기,심전도기,기존 수동조사에서 확인한 연구용 검색어
MAC5,심전도기,심전도계,기존 수동조사에서 확인한 연구용 검색어
MAC5,심전도기,심전도기록기,기존 수동조사에서 확인한 연구용 검색어
MAC5,심전도기,심전도감시장치,기존 수동조사에서 확인한 연구용 검색어
GMSR-182,약품냉장고,의약품냉장고,기존 수동조사에서 확인한 분류 후보
GMSR-182,약품냉장고,실험실용일반냉장고,기존 수동조사에서 확인한 경합 분류 후보
L4-20t-RS,선형탐촉자(초음파 Probe),초음파영상진단장치,기존 수동조사에서 확인한 연구용 검색어
L4-20t-RS,선형탐촉자(초음파 Probe),탐촉자,기존 수동조사에서 확인한 연구용 검색어
L4-20t-RS,선형탐촉자(초음파 Probe),초음파진단장치,기존 수동조사에서 확인한 연구용 검색어
CX30N,영상 판독용 모니터,의료용모니터,기존 수동조사에서 확인한 연구용 검색어
CX30N,영상 판독용 모니터,영상표시장치,기존 수동조사에서 확인한 연구용 검색어
CX30N,영상 판독용 모니터,모니터,광범위 후보 탐색용이며 직접가격 mapping 아님
,마취,마취기,마취 관련 입찰공고·낙찰·사전규격 Research 확장용
,마취,가스마취기,마취 관련 입찰공고·낙찰·사전규격 Research 확장용
,마취,전신가스마취기,마취 관련 입찰공고·낙찰·사전규격 Research 확장용
,마취,마취기시스템,마취 관련 입찰공고·낙찰·사전규격 Research 확장용
,엑소아틀레트 - II,로봇보조정형용운동장치,식약처 공개 허가 품목명과 일치하는 Research-only 분류어이며 동일제품 mapping 아님
,엑소아틀레트 - II,로봇보조 정형용 운동장치,견적 파일 일반품명과 식약처 품목명을 연결하는 Research-only 검색어
,엑소아틀레트 - II,웨어러블 의료재활로봇,제품 용도 기반 보조 Research 검색어이며 동일제품 가격으로 자동 사용 금지
