canonical_name,alias
Draeger,Draeger
Draeger,Dräger
Draeger,드레거
Fritz Stephan,Fritz Stephan
Fritz Stephan,Stephan
Fritz Stephan,스테판
Samsung Electronics,Samsung Electronics
Samsung Electronics,Samsung
Samsung Electronics,삼성전자
GE HealthCare,GE HealthCare
GE HealthCare,GE Healthcare
GE HealthCare,GE헬스케어
Philips,Philips
Philips,필립스
Medtronic,Medtronic
Medtronic,메드트로닉
Boston Scientific,Boston Scientific
Boston Scientific,보스턴사이언티픽
Thermo Fisher Scientific,Thermo Fisher Scientific
Oxford Nanopore,Oxford Nanopore
ConMed,ConMed
WIDE,WIDE
WIDE,와이드
