benchmark_id,category,manufacturer,product_name,model_name,evidence_role,source_name,source_url,evidence_type,match_grade,comparison_scope,public_price,currency,condition_summary,collected_at,verification_status,notes
B01,의료장비,Draeger,인큐베이터(인공보육기),TN500,identity,Dräger Korea,https://www.draeger.com/ko_kr/Products/Draeger-Babyleo-TN500,,A,exclude,,,공식 제조사 제품 페이지,2026-09-03,verified,모델 정체성 확인; 공개 판매가격 없음
B03,의료장비,Align Technology,입체광학인상채득장치,iTero Lumina pro,service,Align Technology Korea service plan,https://assets.ctfassets.net/o8m7afojxkhl/qGDXobaemNPaENfYc3A48/68caaf5d907f302d858fef1e4046923d/KR_Service_Plan_Schedule__Non-Lumina_PC__2026-03-01.pdf,,A,exclude,,,한국 서비스 플랜 문서; 제품 구매가격 아님,2026-09-03,verified,서비스 비용은 본체 직접가격에서 제외
B06,의료장비,Medtronic,전기수술기(소작기),FT10,listing,닥터에스에이몰,https://www.drsamall.com/product/detail.html?cate_no=42&display_group=2&product_no=158,PUBLIC_SALE_PRICE,A,reference,,,국내 판매 페이지이나 가격문의,2026-09-03,verified,제품 정체성 확인; 숫자 가격 미공개
B09,의료비품,ConMed,배터리 드릴세트,Hall Titan Drill set,listing,Boca Med Tech,https://bocamedtech.com/collections/surgical,PUBLIC_SALE_PRICE,C,reference,2999,USD,중고/액세서리 포함 PRO9200B 세트,2026-09-03,verified,동일 제품군 참고자료; 국내 신품 직접가격 아님
B12,의료비품,GE HealthCare,심전도기,MAC5,identity,GE HealthCare Service Shop Korea,https://services.gehealthcare.co.kr/gehcstorefront/p/MAC5A4Bundle,,A,exclude,,,공식 한국 제품 페이지,2026-09-03,verified,제품 정체성 확인; 공개가격 없음
B13,의료비품,GMS,약품냉장고,GMSR-182,identity,GMS 공식 제품 페이지,https://www.gsmedical.co.kr/product/gmsr-182/,,A,exclude,,,182L 사양 및 옵션 확인,2026-09-03,verified,공식 제품 페이지; 제조사 표기를 GMS로 정규화
B13,의료비품,GMS,약품냉장고,GMSR-182,listing,GMS 공식 구매견적문의,https://www.gsmedical.co.kr/estimate/,PUBLIC_SALE_PRICE,A,direct,5000000,KRW,VAT·배송·설치 포함 여부 미확인,2026-09-04,verified,제조사 공식 구매견적문의 페이지 표시가격; exact model A 직접근거
B17,전산비품,삼성전자,노트북(갤럭시북6 PRO),NT960XJG-K72AG,listing,삼성전자몰 엔씨디지텍,https://www.ncdigitech.co.kr/73/?idx=37,PUBLIC_SALE_PRICE,A,direct,3699000,KRW,신품 국내판매가; 무료배송 표기,2026-09-03,verified,정확 모델명 및 제조사 확인
B17,전산비품,삼성전자,노트북(갤럭시북6 PRO),NT960XJG-K72AG,listing,롯데하이마트,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0061351457,PUBLIC_SALE_PRICE,A,direct,3655000,KRW,신품 정상가; 카드/쿠폰 할인 별도,2026-09-03,verified,정확 모델명 확인; 할인가는 조건부로 별도 취급
B18,전산비품,FUJIFILM Business Innovation,컬러 레이저프린터,ApeosPrint C5570 GK,delivery_order,조달청_나라장터쇼핑몰 품목정보 서비스,https://www.data.go.kr/data/15129471/openapi.do,DELIVERY_ORDER_UNIT_PRICE,A,direct,2981000,KRW,납품요구 단가; VAT·설치·배송·옵션·보증 조건 완전 구조화 안 됨,2026-09-04,verified,"고정기간 live exact-model 거래 3건; R26TB02131898 R26TB02210520 R26TB02216148"
B18,전산비품,FUJIFILM Business Innovation,컬러 레이저프린터,ApeosPrint C5570 GK,listing,FUJIFILM Business Innovation Korea 공식몰,https://store-fbkr.fujifilm.com/commerce/foffice/product/product.lime?r_prcode=APC5570PGK-W,PUBLIC_SALE_PRICE,A,direct,5500000,KRW,공식 온라인스토어 표시 판매가; VAT 포함 여부 미확인; 배송·설치 조건 주문 시 확인,2026-09-04,verified,exact model A 직접근거; G2B와 독립 source
B20,의료비품,WIDE,영상 판독용 모니터,CX30N,identity,WIDE Corporation,https://widecorp.homepage.whois.co.kr/?GC=GD0900&GS=126&act=shop.goods_view,,A,exclude,,,공식 제품 페이지; 21.3인치 3MP 컬러 판독용,2026-09-03,verified,제조사 표기를 WIDE로 정규화할 근거 확보
B20,의료비품,WIDE,영상 판독용 모니터,CX30N,identity,Kyocera Display,https://display.kyocera.com/213-3mp-diagnostic-color-display-3,,A,exclude,,,WIDE 계열 유통/제품 규격 교차확인,2026-09-03,verified,모델·해상도·원산지 교차검증
B16,수술기구,BLACK & BLACK SURGICAL,TEBBETTS FIBEROPTIC RETRACTOR,B61084,identity,AccessGUDID,https://accessgudid.nlm.nih.gov/devices/00840329805777,,A,exclude,,,9CM X 20MM blade with teeth; catalog B61084,2026-09-03,verified,제조사 미상 benchmark의 제조사 정규화 근거 확보
