benchmark_model,source_name,source_record_id,candidate_title,expected_grade,review_note,evidence_url
Sophie,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02128272,"인공호흡기, 조선기기, CSI-2000, 운반형",X,원문에 제조사 조선기기·모델 CSI-2000이 명시되어 검색대상 Stephan Sophie와 명시적으로 상이함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
Sophie,조달청_나라장터쇼핑몰 품목정보 서비스,R26TA02087383,인공호흡기,X,제품군 명칭만 있고 제조사·모델·유사 규격 근거가 없어 C 요건을 충족하지 못하므로 식별불충분 X.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
Sophie,조달청_나라장터쇼핑몰 품목정보 서비스,R26TA02135157,융복합인공호흡기,X,제품군 명칭만 있고 제조사·모델·유사 규격 근거가 없어 C 요건을 충족하지 못하므로 식별불충분 X.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02126445,"노트북컴퓨터, 삼성전자, (VN)NT960XHA-KG71G, Intel Core Ultra 7 256V(2.2GHz)",X,삼성 노트북 제품군이나 원문 모델 (VN)NT960XHA-KG71G이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02127111,"노트북컴퓨터, 삼성전자, (VN)NT750QGK-KG56G, Intel Core 5 120U(1.4GHz)",X,삼성 노트북 제품군이나 원문 모델 (VN)NT750QGK-KG56G이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02128592,"노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGK-KG56P, Intel Core 5 120U(1.4GHz)",X,삼성 노트북 제품군이나 원문 모델 (CN)NT750XGK-KG56P이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02130339,"노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGK-KG76P, Intel Core 7 150U(1.8GHz)",X,삼성 노트북 제품군이나 원문 모델 (CN)NT750XGK-KG76P이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02131005,"노트북컴퓨터, 삼성전자, (VN)NT960QHA-KG71G, Intel Core Ultra 7 256V(2.2GHz), 액세사리별도",X,삼성 노트북 제품군이나 원문 모델 (VN)NT960QHA-KG71G이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02133669,"노트북컴퓨터, 삼성전자, (VN)NT750XHD-K5P62, Intel Core Ultra 5 225U(1.5GHz), 액세사리별도",X,삼성 노트북 제품군이나 원문 모델 (VN)NT750XHD-K5P62이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
NT960XJG-K72AG,조달청_나라장터쇼핑몰 품목정보 서비스,R26TB02141920,"노트북컴퓨터, 삼성전자, (VN)NT750XHD-K7P62, Intel Core Ultra 7 255U(2.0GHz), 액세사리별도",X,삼성 노트북 제품군이나 원문 모델 (VN)NT750XHD-K7P62이 검색대상 NT960XJG-K72AG와 명시적으로 상이하며 유사규격 판정 근거도 부족함.,https://github.com/dekt-oss/price-check-assistant/actions/runs/33767200916
