detail_code_or_segment,official_name,scope_type,collect_track,review_status,enabled,rationale,reviewed_at
4110290901,조직포매기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110291001,현미경배양장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110291301,조직절편기칼날연마기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110291401,세포막파괴기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110291601,마이크로톰,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110291602,동결조직절편기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110300501,실험실용초저온냉동고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110300601,실험실용극저온냉동고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110301101,실험실용일반냉장고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110301102,실험실용일반냉동고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110320201,실험용세척기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110320301,피펫세척기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110320701,마이크로플레이트세척기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110321001,실험실용자외선소독기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110321101,실험폐액처리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110351701,생물안전작업대,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110370201,정밀정온기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110370401,생체저온보관고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110370601,항온수조,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110370801,사욕조,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110371401,조직부양조,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110380201,실험실용회전혼합기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110380601,자력교반기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110381001,오버헤드교반기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110381101,회전식진탕기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110381201,왕복식진탕기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110381401,소용돌이식진탕기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110390101,미량원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390201,미량냉장원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390301,탁상형원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390401,탁상형냉장원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390501,대용량원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390601,대용량냉장원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390701,초고속원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110390801,진공원심분리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110402101,분액수집기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110402202,시료분취기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110402203,캐핑기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110402204,표본제작기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110420201,증류수제조기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110420601,초순수제조기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110430101,생물배양시스템,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110440101,일반중력대류배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110440201,일반강제대류배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110440501,진탕배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110442301,냉동배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110442601,배양제제조장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110449801,이산화탄소배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110450701,마이크로웨이브시료전처리장비,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110451101,교잡반응기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110470101,실험실용동결건조기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110481601,진공또는원심농축기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110481901,세포모음장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110510201,연동펌프,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110510601,크로마토그래프펌프,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110531401,겔다큐멘테이션시스템,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110531601,자외선작업함,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110539901,전기영동장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110550501,고효율시료검색시스템,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110551701,핵산추출기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110552101,유전자검출기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4110590301,유전자합성기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4110630701,유전자증폭기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111150305,혈액채혈용저울,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111151701,분석용전자저울,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111170301,실체현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111171101,전자현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111171201,역상현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172001,주사전자현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172101,투과전자현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172201,형광현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172202,현미경레이저주사장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172301,레이저현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172302,홀로그래피현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172401,주사탐침현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111172501,편광현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111174901,위상차현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111179801,멀티미디어영상현미경,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111302701,삼투압계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111303701,마이크로플레이트리더,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111304001,콜로니카운터,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111330101,아미노산분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111330601,염화물측정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
