case_id,sample_class,input_format,sample_name,approved_public_sample,extraction_status,human_product_name,system_product_name,human_manufacturer,system_manufacturer,human_model,system_model,human_spec,system_spec,human_match_grade,system_match_grade,identity_agreement,false_positive_identity,false_negative_identity,direct_evidence_found,direct_evidence_count,independent_source_count,observed_low_krw,observed_high_krw,quote_position,condition_human_judgment,condition_system_judgment,condition_agreement,candidate_gate_result,candidate_gate_reasons,false_positive_comparison,false_negative_comparison,collector_status,zero_vs_failure_correct,source_record_traceable,source_url_traceable,fingerprint_traceable,manual_minutes,system_minutes,time_saved_minutes,reuse_value_1_to_5,reviewer_notes
UAT-01,일반 전산제품 / 정확 모델,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-02,일반 전산제품 / 부정확 제품명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-03,병원 일반 비품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-04,의료장비 / exact MFDS identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-05,다품목 Excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-06,text PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-07,상업조건 상세 견적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-08,상업조건 거의 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-09,exact 모델 + 외부가격 부족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-10,명백한 규격 충돌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-11,동일 모델 + 거래수량 차이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-12,API 정상 0건,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-13,API 실패,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-14,MFDS ambiguous permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAT-15,취소/취하 또는 수출전용 의료기기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
